date_bs,date_ad,PSP_Agents,Wallet_Users,ATM_Machines,Debit_Cards,Credit_Cards,Prepaid_Cards,Mobile_Banking_Customers,Internet_Banking_Customers,Branchless_Banking,RTGS_Participants,ConnectIPS_Users,ECC_Members,IPS_Members,RTGS_Count,ATM_Cash_Withdrawal_Count,ECC_Count,IPS_Count,ConnectIPS_Count,Debit_Card_Count,Credit_Card_Count,Prepaid_Card_Count,Internet_Banking_Count,Mobile_Banking_Count,Branchless_Banking_Count,Wallet_Count,QR_Count,POS_Count,Ecommerce_Count,Faster_Payment_Count,Cross_Border_QR_Count,Other_Retail_Count,RTGS_Value,ATM_Cash_Withdrawal_Value,ECC_Value,IPS_Value,ConnectIPS_Value,Debit_Card_Value,Credit_Card_Value,Prepaid_Card_Value,Internet_Banking_Value,Mobile_Banking_Value,Branchless_Banking_Value,Wallet_Value,QR_Value,POS_Value,Ecommerce_Value,Faster_Payment_Value,Cross_Border_QR_Value,Other_Retail_Value
2079 Push,2022-12,13273,15962907,4648,12222387,276089,124768,20053420,1768932,1428,46,994844,55,113,68774,9680057,1003928,2459453,4320252,10469376,236570,60760,234387,21645162,64906,17176406,5618826,1002294,81501,0,0,0,2700157.150999215,77845.76295175,537947.1461925037,181004.82335393332,343315.50841608003,81421.19930968,1536.2321440999997,404.77556789,12291.074518590003,167806.96539518004,1368.7883023000002,18260.647408290002,17031.69735838,5023.369108729999,488.42092579,0,0,0
2079 Magh,2023-01,13288,16126433,4692,12305506,278323,127736,20036524,1764801,1437,46,1022271,55,113,62544,9551897,979244,1713585,4299311,10186662,213497,59538,258412,22216080,81939,16960828,5782265,825706,76511,0,0,0,2295803.6213133126,77041.01692978002,474624.7292966395,171531.191927131,328033.53866433003,79694.04298513001,1344.67714226,407,12419.341123520004,172119.41371664996,1571.77560404,17117.86623609,17765.29840201,3886.7591538799998,509.93921839,0,0,0
2079 Falgun,2023-02,13397,16751713,4713,11874649,282026,130206,20065267,1779134,1367,45,1036549,54,114,60924,10177956,975778,941714,4105332,10940532,230495,56632,276910,24566107,68746,19787258,6750582,967753,79465,0,0,0,2287259.1440195693,81733.65618253002,457817.3193316984,159991.09891090658,340016.66110985,85141.12641114001,1411.5530065399998,365,13861.013716670004,191823.7805795,1523.8785222999998,18155.771003454804,20776.39321724,4705.10576196,474.48611257000005,0,0,0
2079 Chaitra,2023-03,13706,17560253,4729,12118371,285127,127770,20434031,1798866,1353,45,1051776,54,116,71770,10410421,1108293,1100968,4357242,11180826,240575,57020,276559,25735075,75177,18667139,7644791,983109,82759,0,0,0,2437404.0410753395,83036.38347049001,558862.9083469224,195626.9671662648,380936.3085241,86451.47927211001,1583.59458701,346.54736225,13679.134987729996,207452.42392131002,1583.1775378799998,19922.14066328,22892.32483999,4839.55361392,502.33740244,0,0,0
2080 Baisakh,2023-04,13744,18229125,4716,11760594,274690,133060,20763346,1803065,1355,45,1064549,54,116,64973,10615164,1001761,1088846,4210480,11432893,262877,60746,276985,27424732,90063,19264085,8587224,1057927,81286,0,0,0,2429909.8224287247,83873.0352193,469869.91688668873,173748.2636738111,359528.41112297,87384.6235938,1590.50373467,390.76990451999995,13450.761616099999,210010.07894543002,1764.34995632,19254.883379848,26050.84658999,4967.90355276,520.87756691,0,0,0
2080 Jestha,2023-05,13888,18641453,4743,12234366,280240,137806,21091059,1830425,1330,45,1090142,54,118,72476,11059144,1161783,958986,4632924,11855816,261909,73397,286673,29210322,79967,20606030,9509249,1034441,95766,0,0,0,2752673.743399038,86300.49364859998,539954.3582740587,214051.95873164362,417205.85723629,89783.48071518997,1673.28651285,461.09151126999996,14548.565481119998,230475.48217243,1703.3186625600001,20145.547843300003,28075.78624567,5004.56243738,609.21052159,0,0,0
2080 Asar,2023-06,14123,18941793,4855,12245485,283772,139777,21363989,1856195,1319,44,1108436,53,115,76307,11042117,1336586,1808046,5571691,11838532,262057,73017,315202,28903872,73215,20822861,9766216,1035206,94509,9783842,0,3684529,2983929.601419791,86964.34042004003,718754.9359843439,323815.6330621934,498453.17906243,90541.19198271004,1829.585446,446.75212714,15502.44539208,233446.42734270997,1433.06693105,20326.27815689,30147.70568531,5243.810401770001,604.53263138,321519.08951498003,0,321975.25495078
2080 Saun,2023-07,14398,19540305,4969,12400949,288151,145352,21691474,1887046,1306,44,1129469,53,117,69568,10878681,1014156,686079,5275824,11609914,285207,83366,323879,31281546,93510,22205947,11257388,989427,108071,9396014,0,3466622,2868743.1705456036,81382.68095411999,500591.41018357174,131068.5447540968,377460.02047403005,84305.53143133999,1804.41170928,570.8617790899999,14645.68624951,242914.90261033995,1772.99794608,21916.24789055,29996.2094735,4570.093168269999,723.50653094,285192.38328233,0,226875.64089219997
2080 Bhadau,2023-08,14398,19540305,4969,12400949,288151,145352,21691474,1887046,1306,44,1129469,53,117,61060,11168727,891815,1226850,5509585,11889616,294407,95836,329886,34493252,61868,22414576,11799175,1003742,105286,9626131,0,3845786,2185577.0112665505,83384.14234578001,404474.66795942717,153919.75878474038,371803.9041313401,86148.65075735001,1638.1129875500003,668.3011819200001,12950.11912365,242261.13534036995,1341.70474272,21092.2016713189,30563.960862120002,4459.20366154,608.06119377,264316.27189406,0,240136.78680727998
2080 Asoj,2023-09,14580,20276161,5048,12639622,299162,158057,22284622,1625009,1296,44,1160956,54,118,72620,11512710,1061098,2074750,6023161,12340969,268555,101567,277606,32772839,72565,22622170,11883100,1072356,123750,10444444,0,4428625,2759791.5655220654,96054.13302837,530404.1805919709,227753.6461408921,477911.29020111,100110.24432422,1819.50487623,604.78965862,11808.216948299998,277823.60775753006,1575.494071,22795.765270345903,36214.57470017999,5760.881958040001,713.3236376200001,315231.37457900995,0,323557.14025039
